name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
BEST CONNECTICUT ROOFING LLC,bestconnecticutroofing@hotmail.com,+1 203-442-4165,http://www.bestconnecticutroofing.com/,"35 Meridian St, Meriden, CT 06451",Meriden,Connecticut,Roofing contractor,5,253,,https://search.google.com/local/reviews?placeid=ChIJu8DzGovJ54kR10xC8nkbiO8&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
BEST CONNECTICUT ROOFING LLC,jane@bestconnecticutroofing.com,+1 203-442-4165,http://www.bestconnecticutroofing.com/,"35 Meridian St, Meriden, CT 06451",Meriden,Connecticut,Roofing contractor,5,253,,https://search.google.com/local/reviews?placeid=ChIJu8DzGovJ54kR10xC8nkbiO8&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
Connecticut Roofing Solutions,sales@connecticutroofingsolutions.com,+1 860-245-9665,https://www.connecticutroofingsolutions.com/,"101 Franklin St, Westport, CT 06880",Westport,Connecticut,Roofing contractor,5,13,,https://search.google.com/local/reviews?placeid=ChIJ53FNvHId6IkROw1YN8zQiWc&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
"Roofing Solutions of CT, LLC",roofingsolutionsofct@gmail.com,+1 203-838-0235,https://www.roofingsolutionsofct.com/,"1 Morgan Ave 3rd floor, Norwalk, CT 06851",Norwalk,Connecticut,Roofing contractor,5,76,,https://search.google.com/local/reviews?placeid=ChIJwRv1p48d6IkRXUd2vut-j28&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
"Roofing Solutions of CT, LLC",office@rsofct.com,+1 203-838-0235,https://www.roofingsolutionsofct.com/,"1 Morgan Ave 3rd floor, Norwalk, CT 06851",Norwalk,Connecticut,Roofing contractor,5,76,,https://search.google.com/local/reviews?placeid=ChIJwRv1p48d6IkRXUd2vut-j28&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
Roth Roofing,info@rothroofinginc.com,+1 718-851-7783,https://rothroofinginc.com/,"1163 50th St, Brooklyn, NY 11219",Brooklyn,New York,Roofing contractor,4.9,63,,https://search.google.com/local/reviews?placeid=ChIJwW0phTJFwokR5x0FWus-JzE&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
Connecticut Commercial Roofing,info@connecticutcommercialroofing.net,+1 475-271-8523,https://connecticutcommercialroofing.net/,"51 Sugar Hollow Rd UNIT 10, Danbury, CT 06810",Danbury,Connecticut,Roofing contractor,5,11,,https://search.google.com/local/reviews?placeid=ChIJrQe6CKaqwokRXQyugJjusBM&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
Hemlock Roofing CT,hemlockroofing@gmail.com,+1 774-418-3724,https://hemlockroofingco.com/roofing-company-hartford-ct/,"105 Evergreen Ave, Hartford, CT 06105",Hartford,Connecticut,Roofing contractor,5,103,,https://search.google.com/local/reviews?placeid=ChIJ-9T4zbZT5okR2MK8W3TGGlE&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
Hemlock Roofing CT,hemlockcontractingco@gmail.com,+1 774-418-3724,https://hemlockroofingco.com/roofing-company-hartford-ct/,"105 Evergreen Ave, Hartford, CT 06105",Hartford,Connecticut,Roofing contractor,5,103,,https://search.google.com/local/reviews?placeid=ChIJ-9T4zbZT5okR2MK8W3TGGlE&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
"West New York Restoration of CT, INC",alfredg@wnyrct.com,+1 718-617-5257,http://wnyrct.com/,"1800 Boston Rd, Bronx, NY 10460",Bronx,New York,Roofing contractor,4.5,11,,https://search.google.com/local/reviews?placeid=ChIJURen5PT0wokRBTOPX8nyeHQ&q=*&authuser=0&hl=en&gl=US,,,relay,"roofing contractor, Connecticut, USA"
