name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Accurate Electrical Contractors,accurateelectric79@gmail.com,+1 203-509-7027,http://accurateelectricalcontractors.com/contact-us/,"123 Union City Rd, Prospect, CT 06712",Prospect,Connecticut,Contractor,5,624,,https://search.google.com/local/reviews?placeid=ChIJ48FJr_vD54kR6WNuqijd2Ho&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain,review_before_live
AJP Electric,josh@ajpelectricllc.com,+1 860-875-7755,https://www.ajpelectricllc.com/%3Futm_source%3Dgoogle-gbp%26utm_medium%3Dorganic%26utm_campaign%3D*547*ajp-tolland,"221 Merrow Rd, Tolland, CT 06084",Tolland,Connecticut,Electrician,5,1174,,https://search.google.com/local/reviews?placeid=ChIJq6qqqmrz5okRZsqT5wiDoGI&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",,ok
"MC Electrical Contracting, LLC",sarah.mcelectric@gmail.com,+1 860-895-3592,http://www.mcelectricalcontracting.com/,"15 Cronk Rd #1, Plainville, CT 06062",Plainville,Connecticut,Electrician,5,159,,https://search.google.com/local/reviews?placeid=ChIJ2WahleWw54kRcB07prTq9JI&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain,review_before_live
"Professional Electrical Services, LLC",pbavis@pecofct.com,+1 203-800-9654,http://www.professionalelectricalct.com/,"821 Racebrook Rd, Orange, CT 06477",Orange,Connecticut,Electrician,4.9,353,,https://search.google.com/local/reviews?placeid=ChIJSXhyDDcK6IkRjQ7h3dK2cYc&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",multiple_contacts_same_business,review_before_live
"Professional Electrical Services, LLC",kptek@msn.com,+1 203-800-9654,http://www.professionalelectricalct.com/,"821 Racebrook Rd, Orange, CT 06477",Orange,Connecticut,Electrician,4.9,353,,https://search.google.com/local/reviews?placeid=ChIJSXhyDDcK6IkRjQ7h3dK2cYc&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",multiple_contacts_same_business,review_before_live
"Professional Electrical Services, LLC",captainelectricc@yahoo.com,+1 203-800-9654,http://www.professionalelectricalct.com/,"821 Racebrook Rd, Orange, CT 06477",Orange,Connecticut,Electrician,4.9,353,,https://search.google.com/local/reviews?placeid=ChIJSXhyDDcK6IkRjQ7h3dK2cYc&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Casey Electrical Services,caseyelectricalservicesllc@gmail.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Casey Electrical Services,info@caseyelectricalservices.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",multiple_contacts_same_business,review_before_live
Casey Electrical Services,joshcasey@caseyelectricalservices.com,+1 860-810-6003,https://www.caseyelectricalservices.com/,"97 Whiting St STE A, Plainville, CT 06062",Plainville,Connecticut,Electrician,4.7,137,,https://search.google.com/local/reviews?placeid=ChIJ2S_KH1cj5okR3UchAl_aXcw&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",multiple_contacts_same_business,review_before_live
Electrical Power Pros CT,electricalpowerprosllc@gmail.com,+1 203-706-2929,http://electricalpowerpros.net/,"Naugatuck Dr, Naugatuck, CT 06770",Naugatuck,Connecticut,Electrical installation service,5,52,,https://search.google.com/local/reviews?placeid=ChIJNUE38NPD54kRCOKrWJF7edI&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Electrical Power Pros CT,dan@electricalpowerpros.net,+1 203-706-2929,http://electricalpowerpros.net/,"Naugatuck Dr, Naugatuck, CT 06770",Naugatuck,Connecticut,Electrical installation service,5,52,,https://search.google.com/local/reviews?placeid=ChIJNUE38NPD54kRCOKrWJF7edI&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",multiple_contacts_same_business,review_before_live
Buck Electric LLC,buckelectricllc@gmail.com,+1 203-906-8338,http://www.buckelectricct.com/,"58 Ward St, Naugatuck, CT 06770",Naugatuck,Connecticut,Electrician,4.9,95,,https://search.google.com/local/reviews?placeid=ChIJJ0IJ6HPD54kRdF0boAA-U6g&q=*&authuser=0&hl=en&gl=US,,,relay,"electrician, Connecticut, USA",personal_email_domain,review_before_live
